geocode;UF;name_muni;hierarquia
3550308;SP;Arranjo Populacional de S�o Paulo/SP;Grande Metr�pole Nacional
3304557;RJ;Arranjo Populacional do Rio de Janeiro/RJ;Metr�pole Nacional
5300108;DF;Arranjo Populacional de Bras�lia/DF;Metr�pole Nacional
3106200;MG;Arranjo Populacional de Belo Horizonte/MG;Metr�pole
4314902;RS;Arranjo Populacional de Porto Alegre/RS;Metr�pole
4106902;PR;Arranjo Populacional de Curitiba/PR;Metr�pole
3509502;SP;Arranjo Populacional de Campinas/SP;Metr�pole
2927408;BA;Arranjo Populacional de Salvador/BA;Metr�pole
2611606;PE;Arranjo Populacional do Recife/PE;Metr�pole
2304400;CE;Arranjo Populacional de Fortaleza/CE;Metr�pole
1302603;AM;Manaus;Metr�pole
5208707;GO;Arranjo Populacional de Goi�nia/GO;Metr�pole
3205309;ES;Arranjo Populacional de Vit�ria/ES;Metr�pole
1501402;PA;Arranjo Populacional de Bel�m/PA;Metr�pole
4205407;SC;Arranjo Populacional de Florian�polis/SC;Metr�pole
3543402;SP;Arranjo Populacional de Ribeir�o Preto/SP;Capital Regional A
2111300;MA;Arranjo Populacional de S�o Lu�s/MA;Capital Regional A
2408102;RN;Arranjo Populacional de Natal/RN;Capital Regional A
5103403;MT;Arranjo Populacional de Cuiab�/MT;Capital Regional A
5002704;MS;Campo Grande;Capital Regional A
2507507;PB;Arranjo Populacional de Jo�o Pessoa/PB;Capital Regional A
2704302;AL;Arranjo Populacional de Macei�/AL;Capital Regional A
2800308;SE;Arranjo Populacional de Aracaju/SE;Capital Regional A
2211001;PI;Arranjo Populacional de Teresina/PI;Capital Regional A
3549904;SP;Arranjo Populacional de S�o Jos� dos Campos/SP;Capital Regional B
3552205;SP;Arranjo Populacional de Sorocaba/SP;Capital Regional B
3170206;MG;Uberl�ndia;Capital Regional B
4208203;SC;Arranjo Populacional de Itaja� - Balne�rio Cambori�/SC;Capital Regional B
4209102;SC;Arranjo Populacional de Joinville/SC;Capital Regional B
4113700;PR;Arranjo Populacional de Londrina/PR;Capital Regional B
4305108;RS;Arranjo Populacional de Caxias do Sul/RS;Capital Regional B
4115200;PR;Arranjo Populacional de Maring�/PR;Capital Regional B
4202404;SC;Arranjo Populacional de Blumenau/SC;Capital Regional B
3549805;SP;Arranjo Populacional de S�o Jos� do Rio Preto/SP;Capital Regional B
3136702;MG;Arranjo Populacional de Juiz de Fora/MG;Capital Regional B
1100205;RO;Arranjo Populacional de Porto Velho/RO;Capital Regional B
3506003;SP;Arranjo Populacional de Bauru/SP;Capital Regional B
2910800;BA;Feira de Santana;Capital Regional B
4204608;SC;Arranjo Populacional de Crici�ma/SC;Capital Regional B
4104808;PR;Arranjo Populacional de Cascavel/PR;Capital Regional B
4204202;SC;Arranjo Populacional de Chapec�/SC;Capital Regional B
3143302;MG;Montes Claros;Capital Regional B
4314100;RS;Passo Fundo;Capital Regional B
1721000;TO;Palmas;Capital Regional B
2307304;CE;Arranjo Populacional de Juazeiro do Norte/CE;Capital Regional B
2604106;PE;Caruaru;Capital Regional B
2933307;BA;Vit�ria da Conquista;Capital Regional B
2914802;BA;Itabuna;Capital Regional B
3525904;SP;Arranjo Populacional de Jundia�/SP;Capital Regional C
3548500;SP;Arranjo Populacional da Baixada Santista/SP;Capital Regional C
3302403;RJ;Arranjo Populacional de Maca� - Rio das Ostras/RJ;Capital Regional C
3538709;SP;Arranjo Populacional de Piracicaba/SP;Capital Regional C
3301009;RJ;Arranjo Populacional de Campos dos Goytacazes/RJ;Capital Regional C
3501608;SP;Arranjo Populacional de Americana - Santa B�rbara d�Oeste/SP;Capital Regional C
3306305;RJ;Arranjo Populacional de Volta Redonda - Barra Mansa/RJ;Capital Regional C
3131307;MG;Arranjo Populacional de Ipatinga/MG;Capital Regional C
4119905;PR;Arranjo Populacional de Ponta Grossa/PR;Capital Regional C
4108304;PR;Arranjo Populacional Internacional de Foz do Igua�u/Brasil - Ciudad del Este/Paraguai;Capital Regional C
3170107;MG;Uberaba;Capital Regional C
5201108;GO;An�polis;Capital Regional C
3303906;RJ;Arranjo Populacional de Petr�polis/RJ;Capital Regional C
3526902;SP;Arranjo Populacional de Limeira/SP;Capital Regional C
3300704;RJ;Arranjo Populacional de Cabo Frio/RJ;Capital Regional C
3516200;SP;Arranjo Populacional de Franca/SP;Capital Regional C
1600303;AP;Arranjo Populacional de Macap�/AP;Capital Regional C
3503208;SP;Arranjo Populacional de Araraquara/SP;Capital Regional C
3548906;SP;Arranjo Populacional de S�o Carlos/SP;Capital Regional C
3541406;SP;Arranjo Populacional de Presidente Prudente/SP;Capital Regional C
5107602;MT;Rondon�polis;Capital Regional C
2504009;PB;Arranjo Populacional de Campina Grande/PB;Capital Regional C
2611101;PE;Arranjo Populacional de Petrolina/PE - Juazeiro/BA;Capital Regional C
4316808;RS;Arranjo Populacional de Santa Cruz do Sul/RS;Capital Regional C
4314407;RS;Arranjo Populacional de Pelotas/RS;Capital Regional C
1200401;AC;Rio Branco;Capital Regional C
1400100;RR;Boa Vista;Capital Regional C
5003702;MS;Dourados;Capital Regional C
2105302;MA;Arranjo Populacional de Imperatriz/MA;Capital Regional C
3529005;SP;Arranjo Populacional de Mar�lia/SP;Capital Regional C
3167202;MG;Arranjo Populacional de Sete Lagoas/MG;Capital Regional C
1504208;PA;Marab�;Capital Regional C
3502804;SP;Ara�atuba;Capital Regional C
4316907;RS;Arranjo Populacional de Santa Maria/RS;Capital Regional C
3152501;MG;Pouso Alegre;Capital Regional C
4311403;RS;Arranjo Populacional de Lajeado/RS;Capital Regional C
4202909;SC;Arranjo Populacional de Brusque/SC;Capital Regional C
3151800;MG;Po�os de Caldas;Capital Regional C
3518404;SP;Arranjo Populacional de Guaratinguet�/SP;Capital Regional C
2408003;RN;Mossor�;Capital Regional C
3127701;MG;Governador Valadares;Capital Regional C
3122306;MG;Divin�polis;Capital Regional C
5107909;MT;Sinop;Capital Regional C
4218707;SC;Arranjo Populacional de Tubar�o - Laguna/SC;Capital Regional C
3511102;SP;Arranjo Populacional de Catanduva/SP;Capital Regional C
3201209;ES;Cachoeiro de Itapemirim;Capital Regional C
4209300;SC;Lages;Capital Regional C
1506807;PA;Santar�m;Capital Regional C
3170701;MG;Varginha;Capital Regional C
3505500;SP;Barretos;Capital Regional C
3525300;SP;Ja�;Capital Regional C
2312908;CE;Arranjo Populacional de Sobral/CE;Capital Regional C
2700300;AL;Arapiraca;Capital Regional C
2913606;BA;Ilh�us;Capital Regional C
1702109;TO;Aragua�na;Capital Regional C
1502400;PA;Castanhal;Capital Regional C
2903201;BA;Barreiras;Capital Regional C
1100122;RO;Ji-Paran�;Capital Regional C
4203006;SC;Ca�ador;Capital Regional C
2910727;BA;Eun�polis;Capital Regional C
3168606;MG;Te�filo Otoni;Capital Regional C
2606002;PE;Garanhuns;Capital Regional C
4209003;SC;Arranjo Populacional de Joa�aba - Herval d�Oeste/SC;Capital Regional C
1100049;RO;Cacoal;Capital Regional C
3523909;SP;Arranjo Populacional de Itu - Salto/SP;Centro Sub-Regional A
3304201;RJ;Arranjo Populacional de Resende/RJ;Centro Sub-Regional A
1505536;PA;Parauapebas;Centro Sub-Regional A
3520509;SP;Indaiatuba;Centro Sub-Regional A
3543907;SP;Arranjo Populacional de Rio Claro/SP;Centro Sub-Regional A
