MUNIC_RES,ANO,POPULACAO
RO,1992,34768
RO,1992,61737
RO,1992,8633
RO,1992,72462
RO,1992,23280
RO,1992,27830
RO,1992,13317
RO,1992,10617
RO,1992,24630
RO,1992,33783
RO,1992,52287
RO,1992,102481
RO,1992,17202
RO,1992,16317
RO,1992,55496
RO,1992,51784
RO,1992,284576
RO,1992,31981
RO,1992,4830
RO,1992,46703
RO,1992,12848
RO,1992,40249
RO,1992,15050
RO,1992,7041
RO,1992,21774
RO,1992,8060
RO,1992,12119
RO,1992,5589
RO,1992,4577
RO,1992,4647
RO,1992,6981
RO,1992,4755
RO,1992,9592
RO,1992,12403
RO,1992,8161
RO,1992,6230
RO,1992,7138
RO,1992,11560
RO,1992,9540
AC,1992,5688
AC,1992,3017
AC,1992,14353
AC,1992,3294
AC,1992,2367
AC,1992,48901
AC,1992,17591
AC,1992,4203
AC,1992,8046
AC,1992,4629
AC,1992,8258
AC,1992,12856
AC,1992,6593
AC,1992,189743
AC,1992,6800
AC,1992,674
AC,1992,15838
AC,1992,24223
AC,1992,23409
AC,1992,10478
AC,1992,9475
AM,1992,8944
AM,1992,4763
AM,1992,6124
AM,1992,8827
AM,1992,5884
AM,1992,8142
AM,1992,17196
AM,1992,11210
AM,1992,16399
AM,1992,19178
AM,1992,7563
AM,1992,7683
AM,1992,25450
AM,1992,16822
AM,1992,7029
AM,1992,12879
AM,1992,19850
AM,1992,33590
AM,1992,18299
AM,1992,38313
AM,1992,13694
AM,1992,21031
AM,1992,16407
AM,1992,16735
AM,1992,11632
AM,1992,39970
AM,1992,9764
AM,1992,19431
AM,1992,59772
AM,1992,9299
AM,1992,5195
AM,1992,11366
AM,1992,4949
AM,1992,15310
AM,1992,34084
AM,1992,58005
AM,1992,10687
AM,1992,1047232
AM,1992,38403
AM,1992,12053
AM,1992,30946
AM,1992,13153
AM,1992,12939
AM,1992,14721
AM,1992,11894
AM,1992,59691
AM,1992,17876
AM,1992,7522
AM,1992,6717
AM,1992,16167
AM,1992,18221
AM,1992,23501
AM,1992,13940
AM,1992,4779
AM,1992,5617
AM,1992,29466
AM,1992,26203
AM,1992,56991
AM,1992,10297
AM,1992,5494
AM,1992,11994
AM,1992,18559
RR,1992,11918
RR,1992,151439
RR,1992,9915
RR,1992,9277
RR,1992,14068
RR,1992,11488
RR,1992,10890
RR,1992,9754
PA,1992,102399
PA,1992,5326
PA,1992,48378
PA,1992,19637
PA,1992,7255
PA,1992,53600
PA,1992,117390
PA,1992,14494
PA,1992,30810
PA,1992,16921
